Offer_ID,Student_ID,Company_ID,Offer_Date,Package_LPA,Offer_Status,Final_Selected
OFF0001,STU0634,COM001,2025-10-26,27.49,Accepted,Yes
OFF0002,STU0190,COM001,2025-10-26,30.25,Accepted,Yes
OFF0003,STU0052,COM001,2025-10-26,28.62,Accepted,Yes
OFF0004,STU0654,COM001,2025-10-26,27.82,Accepted,Yes
OFF0005,STU0360,COM001,2025-10-26,29.82,Accepted,Yes
OFF0006,STU0322,COM001,2025-10-26,26.85,Accepted,Yes
OFF0007,STU0423,COM001,2025-10-26,29.86,Accepted,Yes
OFF0008,STU0105,COM001,2025-10-26,27.11,Accepted,Yes
OFF0009,STU0501,COM001,2025-10-26,28.07,Accepted,Yes
OFF0010,STU0220,COM001,2025-10-26,30.43,Accepted,Yes
OFF0011,STU0360,COM002,2026-03-30,42.82,Accepted,Yes
OFF0012,STU0550,COM002,2026-03-30,45.41,Accepted,Yes
OFF0013,STU0383,COM002,2026-03-30,41.9,Accepted,Yes
OFF0014,STU0387,COM002,2026-03-30,41.33,Accepted,Yes
OFF0015,STU0463,COM002,2026-03-30,42.07,Accepted,Yes
OFF0016,STU0286,COM002,2026-03-30,41.32,Accepted,Yes
OFF0017,STU0498,COM003,2025-11-15,33.06,Accepted,Yes
OFF0018,STU0052,COM003,2025-11-15,34.72,Accepted,Yes
OFF0019,STU0387,COM003,2025-11-15,31.26,Declined,No
OFF0020,STU0550,COM003,2025-11-15,33.69,Declined,No
OFF0021,STU0394,COM003,2025-11-15,30.74,Accepted,Yes
OFF0022,STU0383,COM003,2025-11-15,32.53,Declined,No
OFF0023,STU0034,COM003,2025-11-15,34.08,Accepted,Yes
OFF0024,STU0416,COM003,2025-11-15,34.83,Accepted,Yes
OFF0025,STU0416,COM004,2025-11-24,24.24,Accepted,Yes
OFF0026,STU0507,COM004,2025-11-24,27.64,Accepted,Yes
OFF0027,STU0545,COM004,2025-11-24,27.07,Accepted,Yes
OFF0028,STU0463,COM005,2025-11-24,25.86,Accepted,Yes
OFF0029,STU0501,COM005,2025-11-24,24.92,Declined,No
OFF0030,STU0286,COM005,2025-11-24,24.33,Declined,No
OFF0031,STU0507,COM005,2025-11-24,22.85,Accepted,Yes
OFF0032,STU0052,COM005,2025-11-24,25.24,Declined,No
OFF0033,STU0550,COM006,2026-05-27,20.73,Declined,No
OFF0034,STU0383,COM006,2026-05-27,20.64,Declined,No
OFF0035,STU0271,COM006,2026-05-27,22.18,Accepted,Yes
OFF0036,STU0034,COM006,2026-05-27,21.91,Declined,No
OFF0037,STU0387,COM006,2026-05-27,21.24,Accepted,Yes
OFF0038,STU0041,COM006,2026-05-27,22.24,Accepted,Yes
OFF0039,STU0605,COM006,2026-05-27,23.65,Accepted,Yes
OFF0040,STU0295,COM006,2026-05-27,21.38,Accepted,Yes
OFF0041,STU0670,COM006,2026-05-27,21.21,Accepted,Yes
OFF0042,STU0845,COM006,2026-05-27,20.64,Accepted,Yes
OFF0043,STU0545,COM006,2026-05-27,20.75,Declined,No
OFF0044,STU0052,COM007,2026-01-11,18.99,Declined,No
OFF0045,STU0545,COM007,2026-01-11,19.85,Declined,No
OFF0046,STU0295,COM007,2026-01-11,20.29,Declined,No
OFF0047,STU0670,COM007,2026-01-11,21.28,Accepted,Yes
OFF0048,STU0383,COM008,2026-04-04,25.97,Accepted,Yes
OFF0049,STU0507,COM008,2026-04-04,23.39,Declined,No
OFF0050,STU0545,COM008,2026-04-04,26.3,Declined,No
OFF0051,STU0286,COM009,2025-07-22,28.47,Declined,No
OFF0052,STU0271,COM009,2025-07-22,29.1,Declined,No
OFF0053,STU0545,COM009,2025-07-22,28.22,Declined,No
OFF0054,STU0654,COM009,2025-07-22,26.57,Declined,No
OFF0055,STU0286,COM010,2025-10-26,30.18,Declined,No
OFF0056,STU0394,COM010,2025-10-26,27.92,Declined,No
OFF0057,STU0295,COM010,2025-10-26,28.51,Accepted,Yes
OFF0058,STU0271,COM010,2025-10-26,28.06,Declined,No
OFF0059,STU0423,COM010,2025-10-26,31.93,Accepted,Yes
OFF0060,STU0501,COM010,2025-10-26,30.3,Declined,No
OFF0061,STU0138,COM011,2026-05-21,30.05,Accepted,Yes
OFF0062,STU0190,COM011,2026-05-21,26.52,Declined,No
OFF0063,STU0271,COM011,2026-05-21,28.15,Declined,No
OFF0064,STU0605,COM011,2026-05-21,27.17,Accepted,Yes
OFF0065,STU0634,COM011,2026-05-21,30.06,Accepted,Yes
OFF0066,STU0220,COM011,2026-05-21,27.89,Declined,No
OFF0067,STU0052,COM011,2026-05-21,29.86,Declined,No
OFF0068,STU0360,COM011,2026-05-21,27.12,Declined,No
OFF0069,STU0545,COM011,2026-05-21,29.97,Accepted,Yes
OFF0070,STU0501,COM012,2026-02-04,32.8,Accepted,Yes
OFF0071,STU0383,COM012,2026-02-04,32.66,Accepted,Yes
OFF0072,STU0394,COM012,2026-02-04,31.41,Accepted,Yes
OFF0073,STU0220,COM012,2026-02-04,32.12,Accepted,Yes
OFF0074,STU0295,COM012,2026-02-04,30.34,Declined,No
OFF0075,STU0360,COM012,2026-02-04,30.46,Accepted,Yes
OFF0076,STU0416,COM012,2026-02-04,32.07,Declined,No
OFF0077,STU0654,COM013,2025-08-03,23.7,Declined,No
OFF0078,STU0416,COM013,2025-08-03,23.51,Declined,No
OFF0079,STU0387,COM013,2025-08-03,21.96,Accepted,Yes
OFF0080,STU0032,COM014,2025-12-12,19.44,Accepted,Yes
OFF0081,STU0501,COM014,2025-12-12,19.88,Declined,No
OFF0082,STU0138,COM014,2025-12-12,21.69,Declined,No
OFF0083,STU0394,COM014,2025-12-12,20.45,Accepted,Yes
OFF0084,STU0052,COM014,2025-12-12,18.87,Accepted,Yes
OFF0085,STU0271,COM014,2025-12-12,20.93,Declined,No
OFF0086,STU0383,COM014,2025-12-12,19.99,Declined,No
OFF0087,STU0360,COM014,2025-12-12,19.43,Declined,No
OFF0088,STU0387,COM014,2025-12-12,21.48,Accepted,Yes
OFF0089,STU0256,COM015,2026-03-20,24.96,Accepted,Yes
OFF0090,STU0295,COM015,2026-03-20,23.11,Accepted,Yes
OFF0091,STU0507,COM015,2026-03-20,24.79,Declined,No
OFF0092,STU0545,COM016,2026-05-03,22.74,Declined,No
OFF0093,STU0105,COM016,2026-05-03,20.9,Declined,No
OFF0094,STU0324,COM016,2026-05-03,22.12,Accepted,Yes
OFF0095,STU0570,COM016,2026-05-03,23.5,Accepted,Yes
OFF0096,STU0032,COM016,2026-05-03,22.67,Declined,No
OFF0097,STU0654,COM016,2026-05-03,22.46,Declined,No
OFF0098,STU0423,COM016,2026-05-03,20.69,Accepted,Yes
OFF0099,STU0295,COM016,2026-05-03,22.16,Declined,No
OFF0100,STU0383,COM016,2026-05-03,20.91,Declined,No
OFF0101,STU0501,COM016,2026-05-03,21.89,Declined,No
OFF0102,STU0387,COM016,2026-05-03,23.87,Declined,No
OFF0103,STU0394,COM016,2026-05-03,20.9,Declined,No
OFF0104,STU0220,COM016,2026-05-03,21.0,Accepted,Yes
OFF0105,STU0618,COM016,2026-05-03,20.58,Accepted,Yes
OFF0106,STU0383,COM017,2026-03-03,19.45,Accepted,Yes
OFF0107,STU0052,COM017,2026-03-03,17.05,Accepted,Yes
OFF0108,STU0416,COM017,2026-03-03,18.89,Accepted,Yes
OFF0109,STU0256,COM017,2026-03-03,17.57,Declined,No
OFF0110,STU0295,COM017,2026-03-03,18.55,Accepted,Yes
OFF0111,STU0052,COM018,2025-07-19,16.87,Declined,No
OFF0112,STU0507,COM018,2025-07-19,15.7,Declined,No
OFF0113,STU0360,COM019,2025-11-07,18.96,Declined,No
OFF0114,STU0416,COM019,2025-11-07,19.28,Declined,No
OFF0115,STU0138,COM019,2025-11-07,21.61,Accepted,Yes
OFF0116,STU0387,COM019,2025-11-07,21.32,Declined,No
OFF0117,STU0654,COM019,2025-11-07,21.47,Accepted,Yes
OFF0118,STU0271,COM019,2025-11-07,20.07,Accepted,Yes
OFF0119,STU0034,COM019,2025-11-07,20.56,Declined,No
OFF0120,STU0423,COM019,2025-11-07,20.02,Accepted,Yes
OFF0121,STU0570,COM019,2025-11-07,21.01,Declined,No
OFF0122,STU0383,COM020,2026-04-30,14.86,Declined,No
OFF0123,STU0052,COM020,2026-04-30,13.28,Declined,No
OFF0124,STU0416,COM020,2026-04-30,13.39,Accepted,Yes
OFF0125,STU0654,COM020,2026-04-30,14.58,Accepted,Yes
OFF0126,STU0394,COM020,2026-04-30,13.21,Accepted,Yes
OFF0127,STU0423,COM021,2025-09-16,10.71,Declined,No
OFF0128,STU0360,COM021,2025-09-16,10.56,Declined,No
OFF0129,STU0669,COM021,2025-09-16,10.81,Accepted,Yes
OFF0130,STU0425,COM021,2025-09-16,9.82,Accepted,Yes
OFF0131,STU0738,COM021,2025-09-16,10.1,Accepted,Yes
OFF0132,STU0062,COM021,2025-09-16,10.22,Accepted,Yes
OFF0133,STU0023,COM021,2025-09-16,10.35,Accepted,Yes
OFF0134,STU0714,COM021,2025-09-16,9.92,Accepted,Yes
OFF0135,STU0550,COM021,2025-09-16,10.88,Accepted,Yes
OFF0136,STU0816,COM021,2025-09-16,10.19,Accepted,Yes
OFF0137,STU0894,COM021,2025-09-16,10.01,Accepted,Yes
OFF0138,STU0644,COM021,2025-09-16,10.58,Accepted,Yes
OFF0139,STU0501,COM021,2025-09-16,10.02,Accepted,Yes
OFF0140,STU0759,COM021,2025-09-16,9.44,Accepted,Yes
OFF0141,STU0841,COM021,2025-09-16,10.15,Accepted,Yes
OFF0142,STU0443,COM021,2025-09-16,10.51,Accepted,Yes
OFF0143,STU0271,COM021,2025-09-16,10.86,Declined,No
OFF0144,STU0688,COM021,2025-09-16,9.74,Accepted,Yes
OFF0145,STU0119,COM021,2025-09-16,10.6,Accepted,Yes
OFF0146,STU0625,COM021,2025-09-16,9.87,Accepted,Yes
OFF0147,STU0197,COM021,2025-09-16,10.27,Accepted,Yes
OFF0148,STU0372,COM021,2025-09-16,9.95,Accepted,Yes
OFF0149,STU0779,COM021,2025-09-16,9.81,Accepted,Yes
OFF0150,STU0789,COM021,2025-09-16,9.64,Accepted,Yes
OFF0151,STU0256,COM021,2025-09-16,9.55,Accepted,Yes
OFF0152,STU0319,COM021,2025-09-16,9.82,Accepted,Yes
OFF0153,STU0352,COM021,2025-09-16,9.54,Accepted,Yes
OFF0154,STU0356,COM021,2025-09-16,9.37,Accepted,Yes
OFF0155,STU0504,COM021,2025-09-16,10.68,Accepted,Yes
OFF0156,STU0453,COM021,2025-09-16,10.33,Accepted,Yes
OFF0157,STU0497,COM021,2025-09-16,10.63,Accepted,Yes
OFF0158,STU0568,COM022,2026-01-17,8.37,Accepted,Yes
OFF0159,STU0800,COM022,2026-01-17,9.64,Accepted,Yes
OFF0160,STU0304,COM022,2026-01-17,8.68,Accepted,Yes
OFF0161,STU0483,COM022,2026-01-17,9.54,Accepted,Yes
OFF0162,STU0271,COM022,2026-01-17,9.58,Declined,No
OFF0163,STU0377,COM022,2026-01-17,8.82,Accepted,Yes
OFF0164,STU0766,COM022,2026-01-17,8.44,Accepted,Yes
OFF0165,STU0351,COM022,2026-01-17,9.43,Accepted,Yes
OFF0166,STU0789,COM022,2026-01-17,8.89,Accepted,Yes
OFF0167,STU0578,COM022,2026-01-17,8.7,Accepted,Yes
OFF0168,STU0542,COM022,2026-01-17,9.14,Accepted,Yes
OFF0169,STU0649,COM022,2026-01-17,9.28,Accepted,Yes
OFF0170,STU0416,COM022,2026-01-17,8.66,Declined,No
OFF0171,STU0185,COM022,2026-01-17,8.79,Accepted,Yes
OFF0172,STU0159,COM022,2026-01-17,8.94,Accepted,Yes
OFF0173,STU0394,COM022,2026-01-17,8.98,Declined,No
OFF0174,STU0360,COM022,2026-01-17,9.81,Declined,No
OFF0175,STU0045,COM022,2026-01-17,9.74,Accepted,Yes
OFF0176,STU0482,COM022,2026-01-17,8.94,Accepted,Yes
OFF0177,STU0497,COM022,2026-01-17,8.42,Declined,No
OFF0178,STU0731,COM022,2026-01-17,8.68,Accepted,Yes
OFF0179,STU0080,COM022,2026-01-17,9.6,Accepted,Yes
OFF0180,STU0292,COM022,2026-01-17,8.57,Accepted,Yes
OFF0181,STU0714,COM022,2026-01-17,9.55,Declined,No
OFF0182,STU0463,COM022,2026-01-17,9.05,Declined,No
OFF0183,STU0176,COM022,2026-01-17,8.53,Accepted,Yes
OFF0184,STU0242,COM022,2026-01-17,9.23,Accepted,Yes
OFF0185,STU0005,COM022,2026-01-17,9.5,Accepted,Yes
OFF0186,STU0841,COM022,2026-01-17,9.46,Declined,No
OFF0187,STU0169,COM022,2026-01-17,8.78,Accepted,Yes
OFF0188,STU0052,COM022,2026-01-17,8.45,Declined,No
OFF0189,STU0634,COM022,2026-01-17,8.63,Declined,No
OFF0190,STU0461,COM022,2026-01-17,9.07,Accepted,Yes
OFF0191,STU0285,COM022,2026-01-17,8.43,Accepted,Yes
OFF0192,STU0124,COM022,2026-01-17,9.53,Accepted,Yes
OFF0193,STU0507,COM022,2026-01-17,9.63,Accepted,Yes
OFF0194,STU0688,COM022,2026-01-17,8.93,Accepted,Yes
OFF0195,STU0364,COM022,2026-01-17,9.78,Accepted,Yes
OFF0196,STU0858,COM022,2026-01-17,8.75,Accepted,Yes
OFF0197,STU0091,COM022,2026-01-17,9.64,Accepted,Yes
OFF0198,STU0145,COM022,2026-01-17,9.06,Accepted,Yes
OFF0199,STU0275,COM022,2026-01-17,9.28,Accepted,Yes
OFF0200,STU0890,COM022,2026-01-17,8.66,Accepted,Yes
OFF0201,STU0894,COM022,2026-01-17,8.71,Accepted,Yes
OFF0202,STU0584,COM022,2026-01-17,9.57,Accepted,Yes
OFF0203,STU0762,COM022,2026-01-17,8.99,Accepted,Yes
OFF0204,STU0443,COM022,2026-01-17,8.68,Accepted,Yes
OFF0205,STU0324,COM022,2026-01-17,9.61,Accepted,Yes
OFF0206,STU0207,COM022,2026-01-17,8.9,Accepted,Yes
OFF0207,STU0780,COM022,2026-01-17,9.39,Accepted,Yes
OFF0208,STU0256,COM023,2025-09-27,9.41,Declined,No
OFF0209,STU0304,COM023,2025-09-27,9.21,Declined,No
OFF0210,STU0669,COM023,2025-09-27,8.96,Declined,No
OFF0211,STU0507,COM023,2025-09-27,9.78,Declined,No
OFF0212,STU0364,COM023,2025-09-27,9.32,Declined,No
OFF0213,STU0322,COM023,2025-09-27,9.55,Declined,No
OFF0214,STU0207,COM023,2025-09-27,9.18,Accepted,Yes
OFF0215,STU0588,COM023,2025-09-27,9.11,Accepted,Yes
OFF0216,STU0670,COM023,2025-09-27,9.43,Declined,No
OFF0217,STU0377,COM023,2025-09-27,9.24,Accepted,Yes
OFF0218,STU0477,COM023,2025-09-27,9.72,Accepted,Yes
OFF0219,STU0105,COM023,2025-09-27,9.58,Accepted,Yes
OFF0220,STU0295,COM023,2025-09-27,8.47,Declined,No
OFF0221,STU0550,COM023,2025-09-27,9.19,Declined,No
OFF0222,STU0654,COM023,2025-09-27,8.47,Declined,No
OFF0223,STU0292,COM023,2025-09-27,8.44,Declined,No
OFF0224,STU0319,COM023,2025-09-27,8.57,Accepted,Yes
OFF0225,STU0387,COM023,2025-09-27,9.33,Declined,No
OFF0226,STU0578,COM023,2025-09-27,8.87,Declined,No
OFF0227,STU0360,COM023,2025-09-27,9.33,Declined,No
OFF0228,STU0845,COM023,2025-09-27,9.04,Declined,No
OFF0229,STU0286,COM023,2025-09-27,9.6,Declined,No
OFF0230,STU0220,COM023,2025-09-27,8.49,Declined,No
OFF0231,STU0443,COM023,2025-09-27,9.04,Declined,No
OFF0232,STU0034,COM023,2025-09-27,9.1,Declined,No
OFF0233,STU0881,COM023,2025-09-27,9.64,Accepted,Yes
OFF0234,STU0568,COM023,2025-09-27,9.18,Accepted,Yes
OFF0235,STU0023,COM023,2025-09-27,9.31,Declined,No
OFF0236,STU0352,COM023,2025-09-27,9.68,Declined,No
OFF0237,STU0769,COM024,2025-10-17,8.16,Accepted,Yes
OFF0238,STU0419,COM024,2025-10-17,7.97,Accepted,Yes
OFF0239,STU0670,COM024,2025-10-17,8.47,Accepted,Yes
OFF0240,STU0190,COM024,2025-10-17,8.08,Declined,No
OFF0241,STU0423,COM024,2025-10-17,7.46,Declined,No
OFF0242,STU0364,COM024,2025-10-17,7.86,Accepted,Yes
OFF0243,STU0220,COM024,2025-10-17,8.33,Declined,No
OFF0244,STU0570,COM024,2025-10-17,7.73,Declined,No
OFF0245,STU0714,COM024,2025-10-17,8.03,Declined,No
OFF0246,STU0477,COM024,2025-10-17,8.52,Accepted,Yes
OFF0247,STU0568,COM024,2025-10-17,8.43,Declined,No
OFF0248,STU0350,COM024,2025-10-17,8.16,Accepted,Yes
OFF0249,STU0578,COM024,2025-10-17,8.06,Declined,No
OFF0250,STU0858,COM024,2025-10-17,8.21,Declined,No
OFF0251,STU0584,COM024,2025-10-17,7.52,Declined,No
OFF0252,STU0605,COM024,2025-10-17,8.43,Accepted,Yes
OFF0253,STU0846,COM024,2025-10-17,7.77,Accepted,Yes
OFF0254,STU0034,COM024,2025-10-17,8.1,Declined,No
OFF0255,STU0105,COM024,2025-10-17,8.03,Accepted,Yes
OFF0256,STU0360,COM024,2025-10-17,8.56,Declined,No
OFF0257,STU0062,COM024,2025-10-17,8.2,Declined,No
OFF0258,STU0731,COM024,2025-10-17,7.96,Accepted,Yes
OFF0259,STU0762,COM024,2025-10-17,7.8,Declined,No
OFF0260,STU0124,COM024,2025-10-17,8.53,Declined,No
OFF0261,STU0618,COM024,2025-10-17,8.63,Accepted,Yes
OFF0262,STU0101,COM024,2025-10-17,8.31,Accepted,Yes
OFF0263,STU0377,COM024,2025-10-17,8.09,Accepted,Yes
OFF0264,STU0671,COM025,2025-10-26,6.72,Accepted,Yes
OFF0265,STU0295,COM025,2025-10-26,7.32,Declined,No
OFF0266,STU0271,COM025,2025-10-26,7.61,Declined,No
OFF0267,STU0766,COM025,2025-10-26,7.49,Declined,No
OFF0268,STU0654,COM025,2025-10-26,7.62,Declined,No
OFF0269,STU0550,COM025,2025-10-26,7.06,Declined,No
OFF0270,STU0034,COM025,2025-10-26,7.36,Accepted,Yes
OFF0271,STU0383,COM025,2025-10-26,7.63,Declined,No
OFF0272,STU0322,COM025,2025-10-26,7.32,Accepted,Yes
OFF0273,STU0105,COM025,2025-10-26,6.65,Declined,No
OFF0274,STU0443,COM025,2025-10-26,7.11,Accepted,Yes
OFF0275,STU0463,COM025,2025-10-26,6.69,Declined,No
OFF0276,STU0507,COM025,2025-10-26,6.65,Declined,No
OFF0277,STU0605,COM025,2025-10-26,6.92,Declined,No
OFF0278,STU0220,COM025,2025-10-26,6.56,Declined,No
OFF0279,STU0052,COM025,2025-10-26,6.9,Declined,No
OFF0280,STU0588,COM026,2026-02-22,8.12,Declined,No
OFF0281,STU0498,COM026,2026-02-22,8.54,Declined,No
OFF0282,STU0654,COM026,2026-02-22,7.92,Declined,No
OFF0283,STU0034,COM026,2026-02-22,8.59,Declined,No
OFF0284,STU0041,COM026,2026-02-22,8.24,Declined,No
OFF0285,STU0416,COM026,2026-02-22,8.6,Declined,No
OFF0286,STU0301,COM026,2026-02-22,7.79,Accepted,Yes
OFF0287,STU0383,COM026,2026-02-22,8.22,Declined,No
OFF0288,STU0136,COM026,2026-02-22,8.59,Accepted,Yes
OFF0289,STU0858,COM026,2026-02-22,7.81,Declined,No
OFF0290,STU0605,COM026,2026-02-22,8.56,Declined,No
OFF0291,STU0769,COM026,2026-02-22,7.66,Declined,No
OFF0292,STU0670,COM026,2026-02-22,7.7,Declined,No
OFF0293,STU0570,COM026,2026-02-22,8.6,Declined,No
OFF0294,STU0634,COM026,2026-02-22,8.57,Declined,No
OFF0295,STU0295,COM026,2026-02-22,8.27,Declined,No
OFF0296,STU0190,COM027,2026-05-20,7.73,Declined,No
OFF0297,STU0322,COM027,2026-05-20,8.08,Declined,No
OFF0298,STU0584,COM027,2026-05-20,7.92,Declined,No
